name,Improve Accessibility,Improve Safety,Improve Public Transport
Congestion charges,-0.004984145522712736,-3.867613215622724e-05,0.002558379413497191
Parking charges,0.008466512104564011,0.0029949928209509723,0.0038930177159726596
Restricted parking,-0.0008819826031658059,3.953307613490806e-05,0.0006871020831083392
Limited traffic zone / Pedestrianisation of streets,-0.007292326868954825,-0.0013677756222835334,-0.004095535401147748
Parking supply management,0.00793741903077119,0.003648619349135634,0.0017446553195818804
Speed limits,0.0008299909253341545,-0.0008686635537419085,-0.0019509097442287934
Mobility hubs (see task T3.2),-0.0026479455976274684,-0.0008135202750615596,0.0030386574469533326
Scheduling integration in MaaS services (see task T2.3),0.005016974957850499,0.0004287962857953834,0.005251340354615337
Ticketing integration in MaaS services (see task T3.4),-0.007818312447530364,-0.0036958692022711088,-0.001645591352361298
"Improved NSM infrastructure, e.g. bike lanes & ""park & ride""",-0.003276441097510988,-0.0008521964072177881,0.0017438430693552818
On demand vehicle sharing action plan,0.005596950002387724,0.004518139846856225,0.0030878527693209688
Nudging (gamification or rewards),-0.0009601023420774524,0.000804946554082299,0.0022084146889604635
Dynamic pricing of NSM,0.010163211534803436,0.005837808672025613,0.011743358223274157
Improved information about the availability of shared modes,0.00020149542545070388,-0.000907339685898137,-0.003245724121826787
Introduction of new NSM services (ex. bike-sharing),-0.006332224526877388,-0.0021727221763658366,-0.006303950090108169
"Introduction of new PT infrastructures/lines (ex. e-buses, LRT)",-0.00834740552132318,-0.003042242674086435,-0.0037939537487521077
Streets retrofitting/introduction of priority lanes,0.01275289856317101,0.0049847553208291605,0.010241719796023972
Dedicated parking spaces for carsharing/micromobility,0.0008299909253341545,-0.0008686635537419085,-0.0019509097442287934
Widening PT geographical area,0.00793741903077119,0.003648619349135634,0.0017446553195818804
Central PT planning and construction program,0.00793741903077119,0.003648619349135634,0.0017446553195818804
